Domain Code,Domain,Area Code (M49),country,Element Code,element,Item Code (CPC),item,Year Code,year,Months Code,month,unit,value,flag,flag_description,iso3,is_imputed,is_outlier
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2022,2022,7021,Annual value,LCU,2148.8,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2023,2023,7021,Annual value,LCU,2268.8,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2024,2024,7021,Annual value,LCU,2315.7,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1991,1991,7021,Annual value,LCU,934.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1992,1992,7021,Annual value,LCU,1055.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1993,1993,7021,Annual value,LCU,1038.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1994,1994,7021,Annual value,LCU,1278.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1995,1995,7021,Annual value,LCU,966.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1996,1996,7021,Annual value,LCU,1421.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1997,1997,7021,Annual value,LCU,1510.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1998,1998,7021,Annual value,LCU,1560.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,1999,1999,7021,Annual value,LCU,1300.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2000,2000,7021,Annual value,LCU,1601.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01343,Apricots,2001,2001,7021,Annual value,LCU,1430.0,A,Official figure,AUS,False,False
