date,ffpi_food,ffpi_meat,ffpi_dairy,ffpi_cereals,ffpi_oils,ffpi_sugar,year,month_num
1995-01-01,73.02757383529595,79.06573109426932,58.925082549268915,62.871389486974024,82.6566411981908,91.34343726631245,1995,1
1995-02-01,74.74335000003839,84.0414804062429,61.14814824921089,62.51428596054038,82.66991005371176,89.17743435010587,1995,2
1995-03-01,75.47205037382726,85.1480441012649,61.79228126086192,62.16595537392217,84.41751061996679,90.29137870701211,1995,3
1995-04-01,74.29236013475402,85.87457897215246,61.13616553520889,62.651855041132414,77.93804108566668,84.78354272008677,1995,4
1995-05-01,74.0961691581996,84.0978569869177,61.239686749374414,64.90775655717799,76.78877539462017,83.66959836318053,1995,5
1995-06-01,75.32497358253804,81.68300693282336,61.239686749374414,69.14484330110487,80.32960832750491,86.76388824347565,1995,6
1995-07-01,79.6479486078209,87.78275239657009,64.56384768841396,74.01351769906452,83.96209045832857,84.10279894642184,1995,7
1995-08-01,78.13917558675685,87.35025370945762,64.33761997337866,72.64226758344064,79.9460957635866,80.32776529246178,1995,8
1995-09-01,78.46230904256554,89.04048796335154,64.2799614096486,75.90886729945277,76.28323142757452,72.34449740130032,1995,9
1995-10-01,80.50674263036899,89.22797546800359,64.80648342887243,80.17270722233431,79.94507917463008,73.27278436538886,1995,10
1995-11-01,80.0383425749651,87.86942354180056,64.80648342887243,80.4585865307344,78.98752035967662,74.1391855318715,1995,11
1995-12-01,78.194424612493,81.81032922767041,64.4258173780622,82.7175662328008,75.57615343127617,76.18141685286629,1995,12
1996-01-01,77.14465254769658,80.29994135807036,64.32996440198302,83.3228217712334,70.75167297011824,77.54290440019615,1996,1
1996-02-01,77.59035991029705,80.31359447552424,64.16787049481233,85.72874709423826,68.6290273116886,79.27570673316143,1996,2
1996-03-01,78.68476521728391,83.21112878718749,62.95740045129156,86.87588636591504,68.17056992801433,79.89456470922045,1996,3
1996-04-01,80.9084603650317,81.19794229809703,62.6933792857457,95.32510192081827,73.55675438843821,74.1391855318715,1996,4
1996-05-01,82.5127931500794,83.56857868715636,61.040911978212215,99.95018455649202,73.36821674437878,70.48792347312323,1996,5
1996-06-01,80.66420851453624,84.07671915791877,61.14314939170375,94.338247804289,68.85370557376216,75.31501568638365,1996,6
1996-07-01,80.54045738153631,87.05115789101703,61.25167530758957,91.06330538515235,66.06842834513962,79.27570673316143,1996,7
1996-08-01,80.1406260743879,89.6839453910362,60.689292827065415,85.83425938099212,69.0996143883768,76.5527316385017,1996,8
1996-09-01,77.0618079522188,89.26363985899171,60.05011474768106,75.28761226711299,71.47007439290026,73.76787074623607,1996,9
1996-10-01,74.36366170702988,86.60436149200562,61.040911978212215,71.1289497341728,69.07583517286238,68.81700693776386,1996,10
