"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","17.6059037886905","20.5862490206565","25.3097063981383","23.6263758713111","20.1877930691395","25.9714262709796","19.9649316936242","28.9884685054435","24.2527106051131","20.8689749959454","24.1907096555314","","24.1373737553816","18.9550352339494","17.3428211592337","18.2681879625536","15.9299497929049","","17.3040410423957","17.0307744820781","16.8620335114382","15.2868354548332","","16.4762017933808","17.3900891315011","14.6012765701751","19.1883894625947","15.6096305442988","13.8972198613441","16.6996245220718","22.4621296974454","18.3229853149513","18.6780564304749","17.4240481119914","19.4937925236267","14.4704238243695","16.8657778641165","","16.561579168916","15.2417870221937","18.9346180073446","13.0022763018655","","","","","","","",
"Bulgaria","BGR","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.71100488367743","","","","7.62389662948168","8.50636667700859","7.48307210133366","5.98298501378153","5.21847298502192","5.39498052075864","5.84375590808233","5.36553775390804","5.4012115939894","4.66531952467868","4.64853257212137","5.77074166880321","6.83820998756618","10.0022048452125","9.56564530674775","9.2852758461449","8.86203054059881","9.09294677902301","8.89801297317925","9.69808006546558","10.4756770846257","10.0390731851877","9.75666371350693","10.6120660211136","12.6028208992188","10.9214667051456","11.7025351461501","12.1895750473205","13.2029398386042","",
"Bahrain","BHR","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","20.3566122451813","12.0338113935531","10.9350463708881","11.2207970084463","6.27955828584156","6.43010961504669","7.32296594529873","6.68091938194514","8.05883041478292","14.9595836908676","16.685522170231","12.7508777975081","12.6665031446711","12.8109634406304","14.759658868539","15.5370563047592","17.6698584264649","16.8416778034625","","","","","","","10.7692059955473","12.2685765205152","19.1448962853797","","","","9.69864270708512","11.7418912076275","10.9356283843617","9.57128150227115","8.10573893533468","6.79605611313661","5.72440892516763","5.16493124950103","6.30212941417559","7.98399079261164","7.61497583868662","8.31394176480227","10.7856321262738","9.16647390950125","9.42227781586713","11.6708233304052","11.9218922020205","10.3368717197661","9.24667873826657","9.75028267373527","11.6643354834077","12.2792823667973","14.1665572021434","13.9121235503305","15.010526742122","",
"Bahamas, The","BHS","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","4.20419471733558","2.61803931453144","2.6642893075574","","","","2.04046473296024","1.51410067958757","2.86287143241133","3.44015886057295","4.39354492577715","6.04554219752858","5.96580338138234","7.27864921965627","","","","","","","","","","16.2571679351256","16.4914809059998","17.9935479509732","16.719944657142","17.5129779528291","18.6443676149589","18.1313836544652","18.3604508815009","15.6491248698938","14.9067471276541","15.4046150299869","15.7046435716457","18.3756015692339","17.5346645789526","15.8637017110413","15.8789485763144","16.1149598787117","16.0542643105988","19.3342400157298","20.2053249079843","18.6049220067859","19.227624604989","18.2897462358856","20.9109654323294","21.9460783563395","22.5074962116983","22.1072116100899","19.9619064911596","",
"Bosnia and Herzegovina","BIH","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9396182775385","16.4571233225434","17.3755031218581","16.8312524732236","15.8594505928307","15.8179706726838","18.992113610139","18.099759334504","17.5805323273902","18.220268004263","17.8869474063733","16.7541165872069","17.9820560387788","17.9874496570928","16.9912328153768","15.8118385517668","16.1864788481885","17.8207513092581","15.5795929963747","15.1259454565601","16.3641440333112","17.4425744896618","",
"Belarus","BLR","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0917537472656","12.3480356672921","11.8739307441419","10.6128800887182","10.723369144169","9.9443012716097","9.12591312473254","9.35486797594333","8.53189757789063","7.28746000181242","7.34988135661458","7.82997028498549","7.87856616943338","6.77276407228192","7.56280561063823","9.23270275267635","11.4945498780543","14.1221920532091","13.8720672879908","12.270886234837","10.174099196494","10.3220966570055","11.370027886011","10.3398378922726","","","","",
"Belize","BLZ","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","28.017572615066","26.5514936552087","24.5682274927181","26.8904914168184","27.5150915084601","24.7585141514934","","20.3484836564823","23.438127072111","24.3129029035951","26.862304287142","27.2211451604908","25.2745165025","","","","","21.0153302875101","17.7627465981561","18.43131309892","19.1332806074409","20.3110335748171","19.737687709447","19.2266858451244","20.2633951361356","13.9961682927728","13.73500940317","11.4280347567629","11.889393162443","11.9079252531816","16.1342568320439","12.1849377660387","13.0039635753203","12.7214715942552","13.7469577660836","13.113483868472","12.5605193115888","14.0020652506752","13.6453161601631","22.6532092775939","20.7638203621054","21.0241257153986","20.5291244404484","20.1837999752106","20.2207696125132","25.6226873878784","20.9313025626709","18.4100838986607","18.7539444450692","18.5354990478463","",
"Bermuda","BMU","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","25.2375431864066","27.6534856755282","29.1379893791305","27.9523235585977","26.3662771734597","28.5475180215623","24.7376249248755","25.3468797775522","24.8570872508373","21.1225515472132","22.70030278572","20.4098120830409","20.3614501385793","19.9977876625129","19.7224241888945","","","","","","","","","","20.6867259368719","","20.5265480017431","","","","","","","","17.7564998490804","17.6843765324207","17.0360285681615","17.174715547689","17.0202592016998","13.0778868105465","16.9465053362038","20.6217083490746","19.1976665812048","20.8043703484341","20.7083774316399","21.0378343393989","20.3692858554948","20.7916852924833","19.3383337582469","23.8324688163154","21.7674762100158","21.4713633824619","22.3359515687756","21.5132145659465","",
"Bolivia","BOL","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","25.183839979553","26.4926443877786","23.9103701052076","19.8988566915431","18.6362370903053","20.5548953046345","17.6442976594512","17.3091000769798","20.1689779727791","21.6947795520219","21.1362796849026","","21.8179924159342","17.4713817351212","15.0747393955597","14.0093680380255","13.8445580650965","13.8306119785438","18.9228228101898","14.5457660263698","18.8584746449276","20.378698487183","16.8138643188174","18.3133885356712","13.3747404261521","18.083975823033","","","","","10.9679061524701","9.29211333160771","9.988592227264","9.5346349703278","10.2365527315221","8.53371972226124","7.86723071000052","9.57036858788623","13.4613814776005","14.8596660303638","13.2391587612067","13.2313909248833","11.4693583560868","10.1897878977306","9.27036905021136","10.2529177863735","9.17825587094961","8.86816790659723","7.66660486517864","8.02069406112546","7.27744898921482","7.19784520841046","7.50736021557653","6.91192665768246","8.45235942245198","8.25386526399591","7.65283906071634","7.52521161926762","10.7678594942168","7.70465862184706","5.97328027448646","7.15089981197722","7.51338501112364","",
"Brazil","BRA","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","15.8595869443941","17.0645100727179","24.1083069403758","19.8182709605454","18.8171931179456","20.0035707116468","16.3895612554279","13.9177561673266","10.9129252819961","8.89696099442917","7.64620521032524","10.9172346801696","7.58817437415144","6.15959481457787","7.85585530225391","6.75922175822022","10.1174458313833","11.8559956107463","9.60256806699567","8.77954606046629","8.45621859559949","8.25716521214095","9.30653496839704","8.96606075350597","15.2504466647692","8.11086077187955","","9.88072496492476","9.40591655255336","11.2273384847548","9.55885730896852","9.72917435659051","10.9308521220609","10.7123315227467","10.7608758919968","9.07604208045229","9.65622902657362","7.88996683261309","6.57400147363878","5.69552691718607","6.70717515812855","7.01297406489281","4.82199032163775","4.36109710869557","4.48300804691799","4.68351433879485","4.48145348145564","5.31270462966115","4.68298925337838","4.59566515712799","4.8444234992437","4.98271862328396","4.98000434939673","5.21313407540425","7.42536207040476","6.32149411569174","5.38447644097633","5.39026493215019","6.30010348205256","5.43366665102592","4.90797968652848","5.36398908769221","5.71222679731262","",
